,account,0x98Afac3b663113D29dc2Cd8C2d1d14793692F110,mvs_transfer_in,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,0xba2ae424d960c26247dd6c32edc70b295c744c43,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,external_approve,liquidity_method
98,0x385f20127c0c31933b3cc8742e67adaaa5248d6d,6453981402813600475731,0,474163356135155657506,0,0,0,False,False
99,0x9fb74e1a609b04409a2b58151d288610e2c40fa2,205682650637722279069869,-205682650637722279069869,-667245861162825028644,0,0,0,False,False
100,0x6db4e771b76cae2e82ece3444896265754a50819,0,0,-23377964440201861763,0,0,0,False,False
101,0xe06bb53e6410748619bb696c12ba6cc252801fdc,0,100000000000000000000,0,0,0,0,False,False
102,0x1db3774485038a6e6736ad37999bb74ea166011f,1047157641657265958467855,-1047157641657265958467855,-5852704787772031315363,0,0,-1066288097874717,False,False
103,0x2929c0648e299b7aba4b638577d37e247ae552af,1880961319566423006308,0,-6465958789035348320,0,0,0,False,False
104,0x5a260a40006145e3fb0bf9436008ca9938215d5c,-1206018815169513524589,1206018815169513524589,-1023622314693134691176,0,0,0,False,False
105,0x0da531a483c2b641dc4cf3069b4b3d4d774a8c42,-54344058543606621838644,266619612051550832873326,54827448903948175683,0,0,0,False,False
106,0x6f8d97cefa6cbaf062afb97b345b41e52eeff307,1500000000000000000000,0,-4657843807681512833,0,0,0,False,False
107,0x14531c261b98af6b4cc1008c3073d4fc17dc3dfa,34417134742380121246497,0,-101686579540229085037,0,0,0,False,False
108,0x63537de1e1abee1696eaa5a6e517a61d05d572e1,1019119055191417149437429,-590203575500000000000000,-2465047062521560808666,0,0,0,False,False
109,0x488f7f0e01e492341284e4917f090ebdeb13e240,307300569204930243363139,0,-2119829904523404673118,0,0,0,False,False
110,0xa67bafdc60df41be91f1fea02118bb1d1905fc61,0,0,14726831581293402626,0,0,0,False,False
111,0xf2af8a48d24cf1f26c4a4a63ac648967e55e923f,0,0,-669303146647925518,0,0,0,False,False
112,0x9a564a7b8c1f4afb3a9c37650dbcbd4e78d9f807,0,0,3217245654899425497,0,0,0,False,False
113,0x9bdd54fea5b0740b152e8d4862bd518b8f36cfca,15000000000000000000000,0,-18553828840359826700,0,0,0,False,False
114,0xd8daaf7fa046d43097e2dbb0b29c733dc09e2c55,3344719427397696569514,0,-24422059826193465562,-3329153697412457311008,0,0,False,False
115,0xe3c6eff94ba62f9b26b695c4719542dd1ef2b80b,0,0,28398564454033913,0,0,0,False,False
